full_tax	verbatimIdentification	old_taxonRank	old name	scientificName	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__OM60(NOR5)_clade; s__uncultured_Haliea	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__OM60(NOR5)_clade; s__uncultured_Haliea	class	Gammaproteobacteria	Gammaproteobacteria	urn:lsid:marinespecies.org:taxname:393018	Bacteria	Proteobacteria	Gammaproteobacteria				Class
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales	class	Bacteroidia	Bacteroidia	urn:lsid:marinespecies.org:taxname:559846	Bacteria	Bacteroidetes	Bacteroidia				Class
d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales; s__uncultured_bacterium	d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophales; g__Omnitrophales; s__uncultured_bacterium	domain	Bacteria	Bacteria	urn:lsid:marinespecies.org:taxname:6	Bacteria						Kingdom
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__AEGEAN-169_marine_group; s__alpha_proteobacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__AEGEAN-169_marine_group; s__alpha_proteobacterium	order	Rhodospirillales	Rhodospirillales	urn:lsid:marinespecies.org:taxname:392751	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Order
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	genus	Sphingobium	Sphingobium	urn:lsid:marinespecies.org:taxname:571470	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Genus
d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313; s__uncultured_bacterium	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313; s__uncultured_bacterium	order	Synechococcales	Synechococcales	urn:lsid:marinespecies.org:taxname:345514	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales			Order
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	family	Comamonadaceae	Comamonadaceae	urn:lsid:marinespecies.org:taxname:393948	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Family
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae	family	Alteromonadaceae	Alteromonadaceae	urn:lsid:marinespecies.org:taxname:393035	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		Family
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__EV818SWSAP88; f__EV818SWSAP88; g__EV818SWSAP88; s__uncultured_bacterium	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__EV818SWSAP88; f__EV818SWSAP88; g__EV818SWSAP88; s__uncultured_bacterium	class	Gammaproteobacteria	Gammaproteobacteria	urn:lsid:marinespecies.org:taxname:393018	Bacteria	Proteobacteria	Gammaproteobacteria				Class
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured; s__uncultured_Bellilinea	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured; s__uncultured_Bellilinea	class	Anaerolineae	Anaerolineae	urn:lsid:marinespecies.org:taxname:570951	Bacteria	Chloroflexi	Anaerolineae				Class
